                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260613"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      529                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  3.2864276466599727E-003                  9.2981325061451237E-001                  1.4464410723336749E-001                  1.3104242118067877E-001                  9.1913262223464187E-008                  9.2981325061451237E-001                  1.4464410723336749E-001                  1.3104242118067877E-001                  9.1913262223464187E-008                 -1.9196594579588634E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9196594579588634E+001                 -1.9196594579588634E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4594134915594164E+000                 -1.4914062620798545E+000                 -1.4187695329426275E-001                  3.0996918724160829E+000                  0.0000000000000000E+000                  1.3313583843666638E+001                 -2.4851628528040479E-001                  5.4718783354205902E+000                  7.1802029767769626E-001                  8.7985426035237346E-001                  1.2198718649594937E+000                  7.5969999999999982E-001                  2.4017443788575954E-001                  1.7234416803928863E-005                  4.6902638225742498E-005                  1.7234416803928863E-005                  4.6902638225742491E-005                  1.8134787247905283E-002                  5.7332003862623302E-003                                        0                                        7 
                                      10                                      529                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  2.2674786566524802E-002                  9.4771477084985178E-001                  9.1913262223464187E-008                  9.9999804222289945E-001                  9.9984649707643702E-001                  9.4771477084985178E-001                  9.1913262223464187E-008                  9.9999804222289945E-001                  9.9984649707643702E-001                 -1.9211214143129009E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9211214143129009E+001                 -1.9211214143129009E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4563033068611366E+000                 -1.5030573981547697E+000                 -1.4148215193516075E-001                  3.0989022696978790E+000                  0.0000000000000000E+000                  1.3316001540939871E+001                 -2.4425525718814231E-001                  5.4702718303423055E+000                  7.2018424052090013E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.8134787247905296E-002                  5.7332003862623319E-003                                        0                                        5 
                                      20                                      529                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  2.3204231120465126E-002                  9.7138527293755772E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9982221115338865E-001                  9.7138527293755772E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9982221115338865E-001                 -1.9235821310998951E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9235821310998951E+001                 -1.9235821310998951E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4553407748777492E+000                 -1.5016854510789097E+000                 -1.3887111443045541E-001                  3.0936801946884684E+000                  0.0000000000000000E+000                  1.3322460410750374E+001                 -2.3516928127299083E-001                  5.4679866841291460E+000                  7.2399572163731085E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.8134787247905296E-002                  5.7332003862623319E-003                                        0                                        7 
                                      30                                      529                  1.1818815689988481E-002                 -2.7037438646188803E+000                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  2.3486015147478303E-002                  9.8313865709567960E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9974984530653299E-001                  9.8313865709567960E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9974984530653299E-001                 -1.9239988574924148E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9239988574924148E+001                 -1.9239988574924148E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4551572915836095E+000                 -1.4996954773028777E+000                 -1.3750916095416021E-001                  3.0909562877358780E+000                  0.0000000000000000E+000                  1.3324380789342616E+001                 -2.3278857555175991E-001                  5.4675873700476094E+000                  7.2485262495048375E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.8134787247905296E-002                  5.7332003862623319E-003                                        0                                        2 
                                      40                                      529                  7.3438578398454232E-002                 -1.9119314041426323E+000                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  2.3502802954297620E-002                  9.8387289928644506E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9955264568511126E-001                  9.8387289928644506E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9955264568511126E-001                 -1.9240190858025429E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9240190858025429E+001                 -1.9240190858025429E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4549495110792052E+000                 -1.5005339226536454E+000                 -1.3751282262073625E-001                  3.0909636110690299E+000                  0.0000000000000000E+000                  1.3324498939774852E+001                 -2.3264789662683591E-001                  5.4675678653228239E+000                  7.2490036029910199E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.8134787247905296E-002                  5.7332003862623319E-003                                        0                                        4 
                                      50                                      529                  4.5497190750010669E-001                 -1.1201189436663841E+000                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  2.3502802942657341E-002                  9.8387289928644506E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9920431927090447E-001                  9.8387289928644506E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9920431927090447E-001                 -1.9240194110661999E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9240194110661999E+001                 -1.9240194110661999E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4544332097740433E+000                 -1.5032556863618358E+000                 -1.3784110186450715E-001                  3.0916201695565717E+000                  0.0000000000000000E+000                  1.3324503718167662E+001                 -2.3264256378300632E-001                  5.4675673886419460E+000                  7.2490198583571397E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.8134787247905296E-002                  5.7332003862623319E-003                                        0                                        5 
                                      60                                      529                  2.8173257176583335E+000                 -3.2830648319013606E-001                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  2.3502802801868047E-002                  9.8387289928644506E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9794883906330223E-001                  9.8387289928644506E-001                  9.1913262223464187E-008                  1.0000000000000000E+000                  9.9794883906330223E-001                 -1.9240171885413744E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9240171885413744E+001                 -1.9240171885413744E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4533612388509973E+000                 -1.5092699127157057E+000                 -1.3870427319534986E-001                  3.0933465122182571E+000                  0.0000000000000000E+000                  1.3324507113390897E+001                 -2.3264050994307700E-001                  5.4675685687560787E+000                  7.2490165709889232E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.8134787247905296E-002                  5.7332003862623319E-003                                        0                                        5 
                                      70                                      484                  1.7444397846610435E+001                  4.6350597728611193E-001                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  4.8082377050653435E-004                  9.8387289928644506E-001                  5.1986843662892335E-001                  4.4942778316160470E-001                  2.6192850908488169E-001                  9.8387289928644506E-001                  5.1986843662892335E-001                  4.4942778316160470E-001                  2.6192850908488169E-001                 -1.9240424265513379E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9240424265513379E+001                 -1.9240424265513379E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4514921891553678E+000                 -1.5206748705974924E+000                 -1.4066865274498461E-001                  3.0972752713175269E+000                  0.0000000000000000E+000                  1.3325049128140959E+001                 -2.3225878720888635E-001                  5.4677098330210230E+000                  7.2489519653864742E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.8134787247905296E-002                  5.7332003862623302E-003                                        0                                        5 
                                      80                                      484                  1.0801137310051504E+002                  1.2553184377623601E+000                  2.3870984925503862E-002                  3.1676376248885095E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3413968636817759E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.3413968636817759E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.9239120660435386E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9239120660435386E+001                 -1.9239120660435386E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4497642820796659E+000                 -1.5324468629388361E+000                 -1.4309883476425286E-001                  3.1021356353560634E+000                  0.0000000000000000E+000                  1.3325274197357762E+001                 -2.3212719715483976E-001                  5.4677920530220492E+000                  7.2486948811150720E-001                  8.7985426035237357E-001                  1.2198718649594937E+000                  7.5970000000000015E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928866E-005                  4.6902638225742505E-005                  1.8134787247905296E-002                  5.7332003862623302E-003                                        0                                        2 
